Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
22.10.2020,102.35,100.62799999999999,102.36,100.57799999999999,-,"1,68%"
21.10.2020,100.662,100.7,101.865,100.285,"136,93K","0,00%"
20.10.2020,100.662,99.235,100.965,99.125,"161,39K","1,86%"
19.10.2020,98.825,99.1,100.165,98.575,"196,00K","0,37%"
16.10.2020,98.45700000000001,99.375,99.425,98.285,"139,92K","-0,76%"
15.10.2020,99.209,98.19,99.725,97.915,"129,73K","-0,14%"
